0.38755,0,0.72217,0.12558,1,0.55496
0.1011,0.14757,0.18839,0.03276,0.26087,0.14477
0,0.23616,0,0,0,0
0,0.25939,0,0.062045,0,0
0,0.20297,0,0.273,0,0
0,0.060762,0,0.18216,0,0.13312
0,0,0,0.077432,0,0.10816
0,0,0,0,0,0.026625
0,0,0,0,0,0.13978
0.27573,0,0.18054,0,0,0.05325
0.31249,0,0.16851,0.09828,0,0
0.12255,0,0,0.23627,0.12261,0
0.018382,0,0,0.15189,0.81739,0
0,0,0,0.10225,0.36783,0
0,0,0,0.052118,0,0
0,0,0.025119,0,0,0.025793
0,0,0.23863,0,0,0.24503
0,0.046465,0.1256,0.064527,0,0.13437
0,0.078633,0,0.16281,0,0.0066562
0,0.0674,0,0.26208,0,0
0,0.015318,0,0.059563,0,0
0,0,0,0,0,0
0.0015318,0,0,0,0,0
0.005872,0,0,0,0,0
